#,POS,PLAYER NAME,FIRST NAME(S),LAST NAME(S),NAME ON SHIRT,DOB,CLUB,HEIGHT (CM),CAPS,GOALS
1,GK,SCHMEICHEL Kasper,Kasper Peter,SCHMEICHEL,SCHMEICHEL,05-11-1986,OGC Nice (FRA),190,89,0
2,DF,ANDERSEN Joachim,Joachim Christian,ANDERSEN,ANDERSEN,31-05-1996,Crystal Palace FC (ENG),192,22,0
3,DF,NELSSON Victor,Victor Enok,NELSSON,NELSSON,14-10-1998,Galatasaray SK (TUR),185,8,0
4,DF,KJAER Simon,Simon Thorup,KJÆR,KJÆR,26-03-1989,AC Milan (ITA),191,122,5
5,DF,MAEHLE Joakim,Joakim Mæhle,PEDERSEN,MÆHLE,20-05-1997,Atalanta Bergamo (ITA),185,34,9
6,DF,CHRISTENSEN Andreas,Andreas Bødtker,CHRISTENSEN,A. CHRISTENSEN,10-04-1996,FC Barcelona (ESP),192,61,3
7,MF,JENSEN Mathias,Mathias,JENSEN,JENSEN,01-01-1996,Brentford FC (ENG),180,22,1
8,MF,DELANEY Thomas,Thomas Joseph,DELANEY,DELANEY,03-09-1991,Sevilla FC (ESP),180,72,7
9,FW,BRAITHWAITE Martin,Martin Christensen,BRAITHWAITE,BRAITHWAITE,05-06-1991,RCD Espanyol (ESP),180,64,10
10,MF,ERIKSEN Christian,Christian Dannemann,ERIKSEN,ERIKSEN,14-02-1992,Manchester United FC (ENG),181,120,39
11,MF,SKOV OLSEN Andreas,Andreas Skov,OLSEN,SKOV OLSEN,29-12-1999,Club Brugge (BEL),187,25,8
12,FW,DOLBERG Kasper,Kasper Dolberg,RASMUSSEN,DOLBERG,06-10-1997,Sevilla FC (ESP),187,40,11
13,DF,KRISTENSEN Rasmus,Rasmus Nissen,KRISTENSEN,KRISTENSEN,11-07-1997,Leeds United FC (ENG),187,13,0
14,MF,DAMSGAARD Mikkel,Mikkel Krogh,DAMSGAARD,DAMSGAARD,03-07-2000,Brentford FC (ENG),180,21,4
15,MF,NORGAARD Christian,Christian Thers,NØRGAARD,NØRGAARD,10-03-1994,Brentford FC (ENG),186,18,1
16,GK,CHRISTENSEN Oliver,Oliver,CHRISTENSEN,O. CHRISTENSEN,22-03-1999,Hertha BSC (GER),190,1,0
17,DF,STRYGER LARSEN Jens,Jens Stryger,LARSEN,STRYGER,21-02-1991,Trabzonspor (TUR),182,49,3
18,DF,WASS Daniel,Daniel,WASS,WASS,31-05-1989,Brøndby IF (DEN),181,44,1
19,FW,WIND Jonas,Jonas Older,WIND,WIND,07-02-1999,VfL Wolfsburg (GER),190,15,5
20,FW,YURARY POULSEN Yussuf,Yussuf Yurary,POULSEN,YURARY,15-06-1994,RB Leipzig (GER),193,68,11
21,FW,CORNELIUS Andreas,Andreas Evald,CORNELIUS,CORNELIUS,16-03-1993,FC København (DEN),195,44,9
22,GK,RONNOW Frederik,Frederik Riis,RØNNOW,RØNNOW,04-08-1992,1. FC Union Berlin (GER),190,8,0
23,MF,HOJBJERG Pierre-Emile,Pierre-Emile Kordt,HØJBJERG,HØJBJERG,05-08-1995,Tottenham Hotspur FC (ENG),187,63,5
24,MF,SKOV Robert,Robert,SKOV,SKOV,20-05-1996,TSG 1899 Hoffenheim (GER),183,12,5
25,MF,LINDSTROM Jesper,Jesper Grænge,LINDSTRØM,LINDSTRØM,29-02-2000,Eintracht Frankfurt (GER),182,9,1
26,DF,BAH Alexander,Alexander Hartmann,BAH,BAH,09-12-1997,SL Benfica (POR),183,6,1
